Completed,Week,Day of Week,Projected Winner,Projected Winner's Rank,Projected Winner's Percentage,Projected Winner's Percentage Difference,Rank Difference,Away Team,Away Percentage,Home Team,Home Percentage,Game URL
false,15,Friday,Arizona Cardinals,20,61.3,22.9,8,New England Patriots,38.4,Arizona Cardinals,61.3,https://www.espn.com/nfl/game/_/gameId/401671677/patriots-cardinals
false,15,Friday,Kansas City Chiefs,2,59.6,19.5,20,Kansas City Chiefs,59.6,Cleveland Browns,40.1,https://www.espn.com/nfl/game/_/gameId/401671854/chiefs-browns
false,15,Friday,New Orleans Saints,14,58.2,16.8,10,Washington Commanders,41.4,New Orleans Saints,58.2,https://www.espn.com/nfl/game/_/gameId/401671737/commanders-saints
false,15,Friday,Indianapolis Colts,19,57.5,15.4,11,Indianapolis Colts,57.5,Denver Broncos,42.1,https://www.espn.com/nfl/game/_/gameId/401671669/colts-broncos
false,15,Friday,Cincinnati Bengals,11,56.9,14.1,14,Cincinnati Bengals,56.9,Tennessee Titans,42.8,https://www.espn.com/nfl/game/_/gameId/401671825/bengals-titans
false,15,Saturday,Minnesota Vikings,15,54,8.4,6,Chicago Bears,45.6,Minnesota Vikings,54,https://www.espn.com/nfl/game/_/gameId/401671489/bears-vikings
false,15,Saturday,Atlanta Falcons,17,53.6,7.6,10,Atlanta Falcons,53.6,Las Vegas Raiders,46,https://www.espn.com/nfl/game/_/gameId/401671697/falcons-raiders
false,15,Friday,Green Bay Packers,26,53.3,7,8,Green Bay Packers,53.3,Seattle Seahawks,46.3,https://www.espn.com/nfl/game/_/gameId/401671796/packers-seahawks
false,15,Friday,Detroit Lions,3,53.2,6.8,1,Buffalo Bills,46.4,Detroit Lions,53.2,https://www.espn.com/nfl/game/_/gameId/401671681/bills-lions
false,15,Friday,Los Angeles Chargers,16,52.4,5.2,4,Tampa Bay Buccaneers,47.2,Los Angeles Chargers,52.4,https://www.espn.com/nfl/game/_/gameId/401671762/buccaneers-chargers
false,15,Friday,Jacksonville Jaguars,13,49.9,0.2,3,New York Jets,49.7,Jacksonville Jaguars,49.9,https://www.espn.com/nfl/game/_/gameId/401671706/jets-jaguars
false,16,Friday,Buffalo Bills,4,73.8,47.8,24,New England Patriots,26,Buffalo Bills,73.8,https://www.espn.com/nfl/game/_/gameId/401671494/patriots-bills
false,16,Friday,San Francisco 49ers,1,68.6,37.4,28,San Francisco 49ers,68.6,Miami Dolphins,31.2,https://www.espn.com/nfl/game/_/gameId/401671874/49ers-dolphins
false,16,Friday,Atlanta Falcons,17,64.7,29.7,14,New York Giants,35,Atlanta Falcons,64.7,https://www.espn.com/nfl/game/_/gameId/401671729/giants-falcons
false,16,Friday,Arizona Cardinals,20,64.5,29.3,12,Arizona Cardinals,64.5,Carolina Panthers,35.2,https://www.espn.com/nfl/game/_/gameId/401671732/cardinals-panthers
false,16,Friday,Los Angeles Chargers,16,64.1,28.5,14,Denver Broncos,35.6,Los Angeles Chargers,64.1,https://www.espn.com/nfl/game/_/gameId/401671749/broncos-chargers
false,16,Friday,Philadelphia Eagles,5,62.2,24.7,19,Philadelphia Eagles,62.2,Washington Commanders,37.5,https://www.espn.com/nfl/game/_/gameId/401671717/eagles-commanders
false,16,Friday,Dallas Cowboys,8,61.1,22.5,4,Tampa Bay Buccaneers,38.6,Dallas Cowboys,61.1,https://www.espn.com/nfl/game/_/gameId/401671790/buccaneers-cowboys
false,16,Thursday,Baltimore Ravens,7,60.5,21.3,16,Pittsburgh Steelers,39.2,Baltimore Ravens,60.5,https://www.espn.com/nfl/game/_/gameId/401671778/steelers-ravens
false,16,Saturday,Green Bay Packers,26,60.3,20.9,12,New Orleans Saints,39.4,Green Bay Packers,60.3,https://www.espn.com/nfl/game/_/gameId/401671692/saints-packers
