Completed,Week,Day of Week,Projected Winner,Projected Winner's Rank,Projected Winner's Percentage Difference,Rank Difference,Projected Winner Futures Difference,Away Team,Away Rank,Away Percentage,Away Futures NJ,Away-Home Futures NJ difference,Home Team,Home Rank,Home Percentage,Home Futures NJ,Home-Away Futures NJ difference,Game URL
true,1,,Denver Broncos,23,,7,-10000,Las Vegas Raiders,24,NaN,25000,10000,Denver Broncos,18,NaN,15000,-10000,https://www.espn.com/nfl/game?gameId=401547400
true,1,,New England Patriots,24,,17,99500,Philadelphia Eagles,1,NaN,500,-99500,New England Patriots,28,NaN,100000,99500,https://www.espn.com/nfl/game?gameId=401547402
true,1,,Los Angeles Chargers,8,,2,4000,Miami Dolphins,6,NaN,1000,-4000,Los Angeles Chargers,13,NaN,5000,4000,https://www.espn.com/nfl/game?gameId=401547401
true,1,,Seattle Seahawks,15,,3,-11000,Los Angeles Rams,20,NaN,15000,11000,Seattle Seahawks,10,NaN,4000,-11000,https://www.espn.com/nfl/game?gameId=401547408
true,1,,New York Giants,32,,28,99000,Dallas Cowboys,4,NaN,1000,-99000,New York Giants,29,NaN,100000,99000,https://www.espn.com/nfl/game?gameId=401547409
true,1,,New York Jets,25,,20,7800,Buffalo Bills,8,NaN,2200,-7800,New York Jets,16,NaN,10000,7800,https://www.espn.com/nfl/game?gameId=401547352
true,2,,Philadelphia Eagles,7,,6,-9500,Minnesota Vikings,15,NaN,10000,9500,Philadelphia Eagles,1,NaN,500,-9500,https://www.espn.com/nfl/game?gameId=401547410
true,2,,Atlanta Falcons,22,,2,5000,Green Bay Packers,19,NaN,15000,-5000,Atlanta Falcons,22,NaN,20000,5000,https://www.espn.com/nfl/game?gameId=401547417
true,2,,Buffalo Bills,5,,25,-22800,Las Vegas Raiders,24,NaN,25000,22800,Buffalo Bills,8,NaN,2200,-22800,https://www.espn.com/nfl/game?gameId=401547411
true,2,,Cincinnati Bengals,9,,6,1450,Baltimore Ravens,3,NaN,750,-1450,Cincinnati Bengals,9,NaN,2200,1450,https://www.espn.com/nfl/game?gameId=401547412
true,2,,Detroit Lions,10,,5,-3000,Seattle Seahawks,10,NaN,4000,3000,Detroit Lions,5,NaN,1000,-3000,https://www.espn.com/nfl/game?gameId=401547418
true,2,,Tennessee Titans,28,,20,35000,Los Angeles Chargers,13,NaN,5000,-35000,Tennessee Titans,26,NaN,40000,35000,https://www.espn.com/nfl/game?gameId=401547414
true,2,,Tampa Bay Buccaneers,19,,7,-85000,Chicago Bears,27,NaN,100000,85000,Tampa Bay Buccaneers,21,NaN,15000,-85000,https://www.espn.com/nfl/game?gameId=401547420
true,2,,Jacksonville Jaguars,11,,9,1550,Kansas City Chiefs,0,NaN,450,-1550,Jacksonville Jaguars,7,NaN,2000,1550,https://www.espn.com/nfl/game?gameId=401547413
true,2,,Houston Texans,18,,3,-10000,Indianapolis Colts,23,NaN,20000,10000,Houston Texans,17,NaN,10000,-10000,https://www.espn.com/nfl/game?gameId=401547419
